;20-01-11;20-01-12;20-01-13;20-01-14;20-01-15;20-01-16;20-01-17;20-01-18;20-01-19;20-01-20;20-01-21;20-01-22;20-01-23;20-01-24;20-01-25;20-01-26;20-01-27;20-01-28;20-01-29;20-01-30;20-01-31;20-02-01;20-02-02;20-02-03;20-02-04;20-02-05;20-02-06;20-02-07;20-02-08;20-02-09;20-02-10;20-02-11;20-02-12;20-02-13;20-02-14;20-02-15;20-02-16;20-02-17;20-02-18;20-02-19;20-02-20;20-02-21;20-02-22;20-02-23;20-02-24;20-02-25;20-02-26;20-02-27;20-02-28;20-02-29;20-03-01;20-03-02;20-03-03;20-03-04;20-03-05;20-03-06;20-03-07;20-03-08;20-03-09;20-03-10;20-03-11;country;region;population
Australia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;2;2;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;1;0;1;1;3;1;3;26;8;1;6;7.0;11.0;0.0;;Australia;Oceania;25203198
New Zealand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0.0;0.0;0.0;;New Zealand;Oceania;4783063
Nepal;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Nepal;Southern Asia;28608710
India;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;13;0;0;6;5.0;4.0;0.0;;India;Southern Asia;1366417754
Pakistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;1;1.0;9.0;0.0;;Pakistan;Southern Asia;216565318
Sri Lanka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Sri Lanka;Southern Asia;21323733
Afghanistan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;;Afghanistan;Southern Asia;38041754
Jordan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;0.0;0.0;;Jordan;Western Asia;10101694
Saudi Arabia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;0;2;4.0;9.0;1.0;24.0;Saudi Arabia;Western Asia;34268528
Kuwait;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;14;18;2;0;0;11;0;0;2;0;0;0.0;0.0;0.0;;Kuwait;Western Asia;4207083
